,Object1,Object2,Relatedness
0,alarm_clock,basket_ball,0.04
1,alarm_clock,baseball_bat,-0.02
2,alarm_clock,tennis_racket,-0.025
3,alarm_clock,bottle,-0.002
4,alarm_clock,wine_bottle,-0.045
5,alarm_clock,cup,0.028
6,alarm_clock,fork,-0.005
7,alarm_clock,knife,0.058
8,alarm_clock,spoon,0.028
9,alarm_clock,bowl,-0.056
10,alarm_clock,apple,0.05
11,alarm_clock,chair,0.036
12,alarm_clock,sofa,0.118
13,alarm_clock,house_plant,0.051
14,alarm_clock,dining_table,0.05
15,alarm_clock,toilet,0.068
16,alarm_clock,television,0.17
17,alarm_clock,laptop,0.061
18,alarm_clock,remote_control,0.125
19,alarm_clock,cell_phone,0.232
20,alarm_clock,microwave,0.161
21,alarm_clock,toaster,0.227
22,alarm_clock,sink,0.057
23,alarm_clock,fridge,0.143
24,alarm_clock,book,0.022
25,alarm_clock,alarm_clock,1.0
26,alarm_clock,vase,0.024
27,alarm_clock,teddy_bear,0.121
28,vase,basket_ball,0.039
29,vase,baseball_bat,0.041
30,vase,tennis_racket,0.067
31,vase,bottle,0.345
32,vase,wine_bottle,0.027
33,vase,cup,0.314
34,vase,fork,-0.056
35,vase,knife,0.069
36,vase,spoon,0.179
37,vase,bowl,0.464
38,vase,apple,-0.029
39,vase,chair,0.195
40,vase,sofa,0.235
41,vase,house_plant,-0.093
42,vase,dining_table,0.136
43,vase,toilet,0.162
44,vase,television,0.057
45,vase,laptop,0.065
46,vase,remote_control,0.046
47,vase,cell_phone,-0.024
48,vase,microwave,0.044
49,vase,toaster,0.055
50,vase,sink,0.155
51,vase,fridge,0.201
52,vase,book,0.079
53,vase,alarm_clock,0.024
54,vase,vase,1.0
55,vase,teddy_bear,0.059
56,teddy_bear,basket_ball,-0.028
57,teddy_bear,baseball_bat,-0.023
58,teddy_bear,tennis_racket,-0.018
59,teddy_bear,bottle,0.053
60,teddy_bear,wine_bottle,0.025
61,teddy_bear,cup,0.014
62,teddy_bear,fork,-0.005
63,teddy_bear,knife,0.023
64,teddy_bear,spoon,0.031
65,teddy_bear,bowl,0.055
66,teddy_bear,apple,-0.009
67,teddy_bear,chair,0.033
68,teddy_bear,sofa,0.125
69,teddy_bear,house_plant,-0.009
70,teddy_bear,dining_table,0.051
71,teddy_bear,toilet,-0.005
72,teddy_bear,television,0.107
73,teddy_bear,laptop,0.033
74,teddy_bear,remote_control,-1.0
75,teddy_bear,cell_phone,-1.0
76,teddy_bear,microwave,-1.0
77,teddy_bear,toaster,-1.0
78,teddy_bear,sink,-1.0
79,teddy_bear,fridge,-1.0
80,teddy_bear,book,-1.0
81,teddy_bear,alarm_clock,-1.0
82,teddy_bear,vase,-1.0
83,teddy_bear,teddy_bear,-1.0
